estimate,pe,se,t_stat,p_value,ci_lo,ci_hi,in_baseline,primary_estimate,selection,mvpf_effect,corr_direction,source
e_demand_gas,-.29499999,.030999999,,,,,1,1,,,,"Levin, Lewis and Wolak (2016), Table 1 column (1)"
farmer_theta,-.421,.063000001,,,,,,,,,1,"Way et al. (2022), Table S22"
