estimate,pe,se,t_stat,p_value,ci_lo,ci_hi,in_baseline,primary_estimate,selection,mvpf_effect,corr_direction,source
electricity_reduction,-.1,.1,,,,,1,1,,,1,Fowlie Table 4 Column 4
gas_reduction,-.20999999,.079999998,,,,,1,1,,,2,Fowlie Table 4 Column 3 
