estimate,pe,se,t_stat,p_value,ci_lo,ci_hi,in_baseline,primary_estimate,selection,mvpf_effect,corr_direction,source
e_demand_gas,-.39700001,.1575397,2.52,,,,1,1,,,,"Su (2011), Table 3"
farmer_theta,-.421,.063000001,,,,,,,,,1,"Way et al. (2022), Table S22"
