estimate,pe,se,t_stat,p_value,ci_lo,ci_hi,in_baseline,primary_estimate,selection,mvpf_effect,corr_direction,source
e_demand_gas,-.33399999,.0451,,,,,1,1,,,,"Small and Van Dender 2007, Table 5, panel 4 column (2) "
farmer_theta,-.421,.063000001,,,,,,,,,1,"Way et al. (2022), Table S22"
