estimate,pe,se,t_stat,p_value,ci_lo,ci_hi,in_baseline,primary_estimate,selection,mvpf_effect,corr_direction,source
e_demand_gas,-.041999999,.0070000002,,,,,1,1,,,,"Hughes, Knittel, Sperling Table 3, panel A column (3)"
farmer_theta,-.421,.063000001,,,,,,,,,1,"Way et al. (2022), Table S22"
