estimate,pe,se,t_stat,p_value,ci_lo,ci_hi,pub_bias,expected_sign,program,extended,international,regulation,clusterid,baseline,extended_international,extended_regulation,international_regulation,complete_sample,abs_t_stat
Experience exponent,.421,.063,6.682539682539682,,,,1,1,hybrid_de,1,1,1,40,1,1,1,1,1,6.6825395
"Sales change in % without incentives, 2003",4.32,.1556122448979593,27.76131147540982,,-4.63,-4.02,1,1,hybrid_de,1,1,1,40,1,1,1,1,1,27.761311
Regression coefficient of log total production on IHWAP treatment,.128,.0039,32.82051282051282,,,,1,1,ihwap,1,1,1,41,1,1,1,1,1,32.820515
Regression coefficient of QTY Electric (MMBtu)  production on IHWAP treatment,.2676,.0156,17.15384615384615,,,,1,1,ihwap,1,1,1,41,1,1,1,1,1,17.153847
Regression coefficient of QTY Natural Gas (MMBtu)  production on IHWAP treatment,1.2374,.0352,35.15340909090909,,,,1,1,ihwap,1,1,1,41,1,1,1,1,1,35.153408
"Weatherization x high Treat, gas",.402,.151,2.662251655629139,,,,1,1,ihwap_hb,1,1,1,42,1,1,1,1,1,2.6622517
"Baseline weatherization reduction, gas",1.623,.0982,16.52749490835031,,,,1,1,ihwap_hb,1,1,1,42,1,1,1,1,1,16.527494
"weatharization x high treatment, gas ",.471,.0313,15.0479233226837,,,,1,1,ihwap_hb,1,1,1,42,1,1,1,1,1,15.047923
"Weatherization x Low Treat, gas",.353,.136,2.595588235294117,,,,1,1,ihwap_lb,1,1,1,43,1,1,1,1,1,2.5955882
Baseline weatherization reduction,.471,.0313,15.0479233226837,,,,1,1,ihwap_lb,1,1,1,43,1,1,1,1,1,15.047923
"Baseline weatherization reduction, gas",1.623,.0982,16.52749490835031,,,,1,1,ihwap_lb,1,1,1,43,1,1,1,1,1,16.527494
"Percent change in consumption of electricity from WAP, IV-FE",.166,.0633,2.622432859399684,,,,1,1,jet_fuel,1,1,1,45,1,1,1,1,1,2.6224329
Experience exponent,.421,.063,6.682539682539682,,,,1,1,k_gas_15_22,1,1,1,46,1,1,1,1,1,6.6825395
Demand elasticity of gas,.198,.053,3.735849056603774,,,,1,1,k_gas_15_22,1,1,1,46,1,1,1,1,1,3.7358491
Elasticity of demand for gasoline,.295,.031,9.516129032258064,,,,1,1,levin_gas,1,1,1,48,1,1,1,1,1,9.5161295
Experience exponent,.421,.063,6.682539682539682,,,,1,1,levin_gas,1,1,1,48,1,1,1,1,1,6.6825395
Demand elasticity of gasoline,.323,.0828,3.900966183574879,,,,1,1,li_gas,1,1,1,49,1,1,1,1,1,3.9009662
Experience exponent,.421,.063,6.682539682539682,,,,1,1,li_gas,1,1,1,49,1,1,1,1,1,6.6825395
Demand elasticity of solar photovoltaics,.355,.117,3.034188034188034,,,,1,1,manzan_gas,1,1,1,50,1,1,1,1,1,3.034188
Experience exponent,.421,.063,6.682539682539682,,,,1,1,manzan_gas,1,1,1,50,1,1,1,1,1,6.6825395
Experience exponent,.194,.041,4.73170731707317,,,,1,1,metcalf_ptc,1,1,1,51,1,1,1,1,1,4.7317071
Tobit Coefficient: Effect of unit increase on user cost of capital  on Capacity,1064.5,311.5,3.417335473515249,,,,1,1,metcalf_ptc,1,1,1,51,1,1,1,1,1,3.4173355
EV elasticity of demand,2.1,.46,4.565217391304348,,,,1,1,muehl_efmp,1,1,1,52,1,1,1,1,1,4.5652175
"average residual subsidy inclusive price on avg total subsidy,  DinD",.85,.15,5.666666666666667,,,,1,1,muehl_efmp,1,1,1,52,1,1,1,1,1,5.6666665
Experience exponent,.421,.063,6.682539682539682,,,,1,1,muehl_efmp,1,1,1,52,1,1,1,1,1,6.6825395
Experience exponent,.319,.043,7.418604651162791,,,,1,1,ne_solar,1,1,1,53,1,1,1,1,1,7.4186049
IV Tobit effect of rebate on yearly count of newly installed res. systems,.472,.0826,5.714285714285714,,,,1,1,ne_solar,1,1,1,53,1,1,1,1,1,5.7142859
IV of price on HO Installation Rate,.534,.898,.5946547884187082,,,,1,1,pless_ho,1,1,1,55,1,1,1,1,1,.5946548
Experience exponent,.319,.043,7.418604651162791,,,,1,1,pless_ho,1,1,1,55,1,1,1,1,1,7.4186049
IV of price squared on HO Installation Rate,.053,.099,.5353535353535354,,,,1,1,pless_ho,1,1,1,55,1,1,1,1,1,.53535354
Experience exponent,.319,.043,7.418604651162791,,,,1,1,pless_tpo,1,1,1,56,1,1,1,1,1,7.4186049
IV of price squared on HO Installation Rate,.241,.289,.8339100346020761,,,,1,1,pless_tpo,1,1,1,56,1,1,1,1,1,.83391005
IV of price on HO Installation Rate,1.929,2.249,.8577145397954646,,,,1,1,pless_tpo,1,1,1,56,1,1,1,1,1,.85771453
Effect of $100 rebate on purchase indicator of energy star water heater,.037,.013,2.846153846153846,,,,1,1,rebate_es,1,1,1,58,1,1,1,1,1,2.8461537
Effect of retrofit on log electricity use,.302,.103,2.932038834951456,,,,1,1,retrofit_res,1,1,1,59,1,1,1,1,1,2.9320388
"Logged nat gas production on RGGIxPost, CO2",.13,.11,1.181818181818182,,,,1,1,rggi,1,1,1,60,1,1,1,1,1,1.1818181
"Logged total production on RGGIxPost , NOX",.19,.14,1.357142857142857,,,,1,1,rggi,1,1,1,60,1,1,1,1,1,1.3571428
"Logged nat gas production on POxPost , SO2",1.14,.19,5.999999999999999,,,,1,1,rggi,1,1,1,60,1,1,1,1,1,6
"Logged coal production on RGGIxPost , CO2",.79,.17,4.647058823529411,,,,1,1,rggi,1,1,1,60,1,1,1,1,1,4.647059
"Logged coal production on RGGIxPost , SO2",.89,.39,2.282051282051282,,,,1,1,rggi,1,1,1,60,1,1,1,1,1,2.2820513
"Logged nat gas production on POxPost , CO2",1.11,.16,6.937500000000001,,,,1,1,rggi,1,1,1,60,1,1,1,1,1,6.9375
"Logged nat gas production on RGGIxPost, SO2",.15,.13,1.153846153846154,,,,1,1,rggi,1,1,1,60,1,1,1,1,1,1.1538461
Share of land cropped post-auction ,.075,.007,10.71428571428571,,,,1,1,russo_crp,1,1,1,61,1,1,1,1,1,10.714286
Experience exponent,.421,.063,6.682539682539682,,,,1,1,sent_ch_gas,1,1,1,62,1,1,1,1,1,6.6825395
Demand elasticity of fuel ,.28,.053030303030303,5.28,,,,1,1,sent_ch_gas,1,1,1,62,1,1,1,1,1,5.2800002
