estimate,pe,se,t_stat,p_value,ci_lo,ci_hi,in_baseline,primary_estimate,selection,mvpf_effect,corr_direction,source
semie,.078000002,.027000001,,,,,1,1,,,1,"Clinton and Steinberg (2019), Table 4 column (4)"
farmer_theta,-.421,.063000001,,,,,,,,,1,"Way et al. (2022), Table S22"
