estimate,pe,se,t_stat,p_value,ci_lo,ci_hi,in_baseline,primary_estimate,selection,mvpf_effect,corr_direction,source
semie,28.15,12.06,,,,,1,1,,,1,Shirmali Table 3 Column 3
farmer_theta,-.19400001,.041000001,,,,,,,,,,Way et al. Table S19
