estimate,pe,se,t_stat,p_value,ci_lo,ci_hi,in_baseline,primary_estimate,selection,mvpf_effect,corr_direction,source
e_saved,.47099999,.031300001,,,,,1,1,,,1,Christensen Table 4 Column 4
g_saved,1.623,.098200001,,,,,1,1,,,,
