estimate,pe,se,t_stat,p_value,ci_lo,ci_hi,in_baseline,primary_estimate,selection,mvpf_effect,corr_direction,source
e_demand_gas,-.28,.053030301,5.2800002,,,,1,1,,,,"Sentenac-Chemin (2012), Table 1"
farmer_theta,-.421,.063000001,,,,,,,,,1,"Way et al. (2022), Table S22"
