estimate,pe,se,t_stat,p_value,ci_lo,ci_hi,in_baseline,primary_estimate,selection,mvpf_effect,corr_direction,source
e_demand_gas,-.164,.024,,,,,1,1,,,,"Gelman et al. 2023, Table 5 Column 2 Row 1 (Headline #)"
farmer_theta,-.421,.063000001,,,,,,,,,1,"Way et al. (2022), Table S22"
