estimate,pe,se,t_stat,p_value,ci_lo,ci_hi,in_baseline,primary_estimate,selection,mvpf_effect,corr_direction,source
e_demand_gas,-.32300001,.082800001,,,,,1,1,,,,"Li, Linn, and Muehlegger 2014 Table 4, panel A column (6)"
farmer_theta,-.421,.063000001,,,,,,,,,1,"Way et al. (2022), Table S22"
