estimate,pe,se,t_stat,p_value,ci_lo,ci_hi,in_baseline,primary_estimate,selection,mvpf_effect,corr_direction,source
qualified_kwh,73.449997,2.6800001,,,,,1,1,,,1,
unqualified_kwh,38.02,3.2,,,,,1,1,,,2,
