estimate,pe,se,t_stat,p_value,ci_lo,ci_hi,in_baseline,primary_estimate,selection,mvpf_effect,corr_direction,source
semie,.37400001,.141,,,,,1,1,,,1,"Gallagher and Muehlegger (2010), Table 5"
farmer_theta,-.421,.063000001,,,,,,,,,1,"Way et al. (2022), Table S22"
