estimate,pe,se,t_stat,p_value,ci_lo,ci_hi,in_baseline,primary_estimate,selection,mvpf_effect,corr_direction,source
e_demand_gas,-.198,.052999999,,,,,1,1,,,,"Kilian and Zhao, Table 7 Column 4"
farmer_theta,-.421,.063000001,,,,,,,,,1,"Way et al. (2022), Table S22"
