-12.902,-12.902
-4.5579,-4.566
-1.6454,-2
3.6037,3.6667
99.55,99.55
146.62,146.62
2.6769,2.8889
6.6825,6.6825
5.2489,5.25
7.0807,7.0807
28.863,28.863
-1.7276,-2.08
-3.8141,-3.8571
-0.66058,-0.86047
-1.6666,-2.0208
-1.8797,-2.2222
-1.5998,-1.9545
-1.9502,-2.2857
-3.0972,-3.2308
-0.38242,-0.5
1.7228,2.0755
-1.2145,-1.5397
7.4186,7.4186
-2.1106,-2.4255
2.8056,2.9924
-1.6454,-2
-1.1359,-1.4484
1.5033,1.8559
-11.881,-11.881
-27.407,-27.407
1.5265,1.88
-6.8333,-6.8333
-5.9999,-6
-3.4718,-3.55
7.45,7.45
7.2105,7.2105
6.1363,6.1364
9.92,9.92
10.867,10.867
9,9
10.762,10.762
14,14
2.5955,2.8235
7.3684,7.3684
4.0621,4.0882
4.9671,4.9697
15.111,15.111
8.4865,8.4865
6.1481,6.1481
9.15,9.15
4.2623,4.2791
1.3219,1.661
0.74754,0.97154
2.3836,2.6525
1.7908,2.14
4.7266,4.7317
9.0811,9.0811
-27.357,-27.357
-23.229,-23.229
-17.154,-17.154
-32.821,-32.821
-35.153,-35.153
-16.527,-16.527
-15.048,-15.048
-2.3956,-2.6623
-2.314,-2.5956
-2.3468,-2.6224
-3.6808,-3.7358
-9.5161,-9.5161
-3.8617,-3.901
-2.8572,-3.0342
-3.3186,-3.4173
-5.6664,-5.6667
-4.5571,-4.5652
5.7141,5.7143
-0.45507,-0.59465
0.40953,0.53535
-0.65844,-0.85771
0.63991,0.83391
2.6237,2.8462
-2.7306,-2.932
-0.57483,-0.75
5.9999,6
-1.9461,-2.2821
0.91506,1.1818
-1.6454,-2
-0.8925,-1.1538
6.9375,6.9375
-1.0589,-1.3571
-4.6406,-4.6471
-10.714,-10.714
-5.279,-5.28
2.005,2.3342
-7.4058,-7.4058
-4.9977,-5
-9.1429,-9.1429
-2.2226,-2.52
-0.76996,-1
-2.3499,-2.625
